Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Dacia,Dokker,2017,27 000 PLN,116 000 km,Diesel,Manualna,Auta miejskie,1 461 cm3,90 KM,5,Biały
Dacia,Duster,2019,59 800 PLN,111 000 km,Benzyna,Manualna,SUV,1 333 cm3,150 KM,5,Szary
Dacia,Jogger,2022,86 900 PLN,17 000 km,Benzyna+LPG,Manualna,Kombi,999 cm3,110 KM,5,Biały
Dacia,Sandero Stepway,2023,62 000 PLN,31 000 km,Benzyna+LPG,Manualna,Kompakt,999 cm3,90 KM,5,Biały
Dacia,Sandero,2024,59 900 PLN,10 km,Benzyna,Manualna,Kompakt,999 cm3,90 KM,5,Biały
Dacia,Duster,2015,35 600 PLN,115 000 km,Benzyna,Manualna,SUV,1 199 cm3,125 KM,5,Zielony
Dacia,Duster,2012,16 500 PLN,145 000 km,Benzyna+LPG,Manualna,SUV,1 598 cm3,105 KM,5,Biały
Dacia,Sandero Stepway,2015,23 500 PLN,140 045 km,Benzyna,Manualna,Auta miejskie,898 cm3,90 KM,5,Srebrny
Dacia,Sandero Stepway,2013,21 600 PLN,215 000 km,Benzyna,Manualna,SUV,898 cm3,90 KM,5,Bordowy
Dacia,Sandero Stepway,2020,54 500 PLN,19 000 km,Benzyna+LPG,Manualna,Kompakt,999 cm3,100 KM,5,Inny kolor
Dacia,Logan,2017,19 559 PLN,154 275 km,Benzyna+LPG,Manualna,Kombi,1 149 cm3,73 KM,5,Bordowy
Dacia,Logan,2015,20 900 PLN,240 000 km,Diesel,Manualna,Sedan,1 461 cm3,90 KM,5,Biały
Dacia,Sandero,2018,29 999 PLN,69 000 km,Benzyna,Manualna,Auta miejskie,998 cm3,73 KM,5,Biały
Dacia,Dokker,2015,27 900 PLN,64 000 km,Diesel,Manualna,Kombi,1 461 cm3,75 KM,4,Granatowy
Dacia,Duster,2019,58 500 PLN,99 003 km,Benzyna+LPG,Manualna,SUV,1 598 cm3,114 KM,5,Czarny
Dacia,Jogger,2024,82 660 PLN,1 km,Benzyna+LPG,Manualna,Kombi,999 cm3,110 KM,5,Zielony
Dacia,Sandero,2021,58 000 PLN,12 000 km,Benzyna,Manualna,Auta miejskie,999 cm3,90 KM,5,Inny kolor
Dacia,Dokker,2017,36 900 PLN,128 813 km,Diesel,Manualna,Kombi,1 461 cm3,90 KM,5,Biały
Dacia,Dokker,2016,27 000 PLN,241 766 km,Diesel,Manualna,Kombi,1 461 cm3,90 KM,5,Granatowy
Dacia,Jogger,2024,81 000 PLN,1 km,Benzyna,Manualna,Kombi,999 cm3,110 KM,5,Biały
Dacia,Duster,2016,31 900 PLN,130 000 km,Benzyna,Manualna,SUV,1 197 cm3,125 KM,5,Czarny
Dacia,Duster,2011,17 500 PLN,190 000 km,Benzyna,Manualna,SUV,1 598 cm3,105 KM,5,Niebieski
Dacia,Dokker,2016,30 300 PLN,100 000 km,Benzyna+LPG,Manualna,Kombi,1 598 cm3,102 KM,4,Srebrny
Dacia,Duster,2010,24 900 PLN,176 500 km,Benzyna,Manualna,SUV,1 598 cm3,105 KM,5,Inny kolor
Dacia,Sandero Stepway,2014,25 800 PLN,142 000 km,Benzyna,Manualna,Auta miejskie,898 cm3,90 KM,5,Bordowy
Dacia,Sandero Stepway,2024,68 400 PLN,1 km,Benzyna+LPG,Manualna,Auta miejskie,999 cm3,90 KM,5,Niebieski
Dacia,Sandero Stepway,2024,63 360 PLN,1 km,Benzyna+LPG,Manualna,Auta miejskie,999 cm3,90 KM,5,Biały
Dacia,Duster,2014,31 700 PLN,125 000 km,Benzyna,Manualna,SUV,1 197 cm3,125 KM,5,Biały
Dacia,Lodgy,2015,24 900 PLN,159 431 km,Benzyna,Manualna,Minivan,1 598 cm3,83 KM,5,Biały
Dacia,Sandero,2009,11 200 PLN,147 374 km,Benzyna,Manualna,Auta miejskie,1 149 cm3,75 KM,5,Srebrny
Dacia,Duster,2014,34 900 PLN,78 000 km,Benzyna+LPG,Manualna,SUV,1 598 cm3,114 KM,5,Zielony
Dacia,Lodgy,2019,39 500 PLN,143 000 km,Benzyna+LPG,Manualna,Minivan,1 598 cm3,102 KM,5,Biały
Dacia,Lodgy,2019,39 500 PLN,143 000 km,Benzyna+LPG,Manualna,Minivan,1 598 cm3,102 KM,5,Biały
Dacia,Lodgy,2017,36 500 PLN,132 000 km,Benzyna,Manualna,Minivan,1 598 cm3,102 KM,5,Szary
Dacia,Duster,2019,54 900 PLN,59 000 km,Benzyna,Manualna,SUV,1 598 cm3,115 KM,5,Brązowy
Dacia,Dokker,2019,53 000 PLN,164 836 km,Benzyna+LPG,Manualna,Minivan,1 598 cm3,102 KM,5,Niebieski
Dacia,Lodgy,2017,41 500 PLN,125 800 km,Benzyna+LPG,Manualna,Minivan,1 598 cm3,102 KM,5,Biały
Dacia,Duster,2023,97 500 PLN,11 990 km,Benzyna,Manualna,SUV,1 332 cm3,150 KM,5,Zielony
Dacia,Duster,2015,34 800 PLN,69 750 km,Benzyna,Manualna,SUV,1 598 cm3,114 KM,5,Szary
Dacia,Duster,2014,34 900 PLN,153 000 km,Benzyna,Manualna,SUV,1 598 cm3,105 KM,5,Brązowy
