Marka,Model,Rok produkcji,Cena,Przebieg,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Pojemność skokowa,Moc,Liczba drzwi,Kolor
Lexus,RX,2007,29 900 PLN,391 000 km,Hybryda,Automatyczna,SUV,3 311 cm3,211 KM,5,Biały
Lexus,IS,2017,87 700 PLN,102 000 km,Hybryda,Automatyczna,Sedan,2 494 cm3,181 KM,4,Beżowy
Lexus,NX,2017,95 900 PLN,119 000 km,Benzyna,Automatyczna,SUV,1 998 cm3,238 KM,5,Biały
Lexus,IS,2017,115 000 PLN,48 386 km,Hybryda,Automatyczna,Sedan,2 494 cm3,181 KM,4,Złoty
Lexus,CT,2012,50 790 PLN,180 246 km,Hybryda,Automatyczna,Kompakt,1 798 cm3,136 KM,5,Niebieski
Lexus,NX,2014,99 000 PLN,161 000 km,Hybryda,Automatyczna,SUV,2 494 cm3,155 KM,5,Biały
Lexus,RX,2005,44 900 PLN,193 500 km,Hybryda,Automatyczna,SUV,3 311 cm3,211 KM,5,Srebrny
Lexus,NX,2018,117 000 PLN,123 000 km,Benzyna,Automatyczna,SUV,1 998 cm3,238 KM,5,Srebrny
Lexus,RX,2005,35 900 PLN,278 000 km,Hybryda,Automatyczna,SUV,3 311 cm3,211 KM,5,Czarny
Lexus,RX,2016,164 500 PLN,121 000 km,Hybryda,Automatyczna,SUV,3 456 cm3,263 KM,5,Niebieski
Lexus,LS,2008,74 900 PLN,330 000 km,Hybryda,Automatyczna,Sedan,4 969 cm3,394 KM,4,Szary
Lexus,CT,2017,78 720 PLN,101 400 km,Hybryda,Automatyczna,Kompakt,1 798 cm3,99 KM,5,Czarny
Lexus,LBX,2024,169 900 PLN,1 km,Hybryda,Automatyczna,Kompakt,1 490 cm3,136 KM,5,Niebieski
Lexus,LBX,2024,161 900 PLN,1 km,Hybryda,Automatyczna,SUV,1 490 cm3,136 KM,5,Czarny
Lexus,LS,2007,59 500 PLN,312 000 km,Hybryda,Automatyczna,Sedan,4 969 cm3,394 KM,4,Czarny
Lexus,RX,2023,374 999,14 km,Hybryda Plug-in,Automatyczna,SUV,2 487 cm3,185 KM,5,Srebrny
Lexus,NX,2021,159 900 PLN,35 000 km,Benzyna,Automatyczna,SUV,1 998 cm3,238 KM,5,Biały
Lexus,UX,2021,102 500 PLN,59 000 km,Benzyna,Automatyczna,SUV,1 987 cm3,171 KM,5,Srebrny
Lexus,RX,2020,160 000 PLN,178 000 km,Benzyna,Automatyczna,SUV,1 998 cm3,238 KM,5,Srebrny
Lexus,NX,2019,139 200 PLN,48 400 km,Benzyna,Automatyczna,SUV,1 998 cm3,238 KM,5,Biały
Lexus,IS,2015,63 900 PLN,205 000 km,Benzyna,Automatyczna,Sedan,1 998 cm3,245 KM,,
Lexus,LC,2023,599 000 PLN,5 km,Hybryda,Automatyczna,Coupe,3 456 cm3,359 KM,5,Biały
Lexus,RX,2006,35 900 PLN,287 000 km,Hybryda,Automatyczna,SUV,3 311 cm3,211 KM,5,Srebrny
Lexus,NX,2015,86 500 PLN,197 000 km,Hybryda,Automatyczna,SUV,2 494 cm3,155 KM,5,Inny kolor
Lexus,LBX,2024,172 900 PLN,1 km,Hybryda,Automatyczna,SUV,1 490 cm3,136 KM,5,Biały
Lexus,NX,2024,322 500 PLN,1 km,Hybryda,Automatyczna,SUV,2 487 cm3,243 KM,5,Szary
Lexus,LX,2014,275 000 PLN,116 500 km,Benzyna+LPG,Automatyczna,SUV,5 663 cm3,367 KM,5,Biały
Lexus,ES,2021,165 900 PLN,29 300 km,Hybryda,Automatyczna,Sedan,2 487 cm3,178 KM,4,Biały
Lexus,RX,2020,188 000 PLN,136 990 km,Hybryda,Automatyczna,SUV,3 456 cm3,263 KM,5,Zielony
Lexus,GS,2008,39 900 PLN,233 600 km,Hybryda,Automatyczna,Sedan,3 456 cm3,295 KM,4,Srebrny
Lexus,IS,2012,68 000 PLN,130 600 km,Benzyna,Automatyczna,Sedan,4 968 cm3,423 KM,4,Brązowy
Lexus,RX,2022,205 500 PLN,48 000 km,Benzyna,Automatyczna,SUV,1 998 cm3,238 KM,5,Srebrny
Lexus,ES,2021,157 000 PLN,47 000 km,Hybryda,Automatyczna,Sedan,2 487 cm3,178 KM,4,Granatowy
Lexus,NX,2017,108 500 PLN,108 900 km,Benzyna,Automatyczna,SUV,1 998 cm3,238 KM,5,Czarny
Lexus,ES,2021,189 900 PLN,44 000 km,Hybryda,Automatyczna,Sedan,2 487 cm3,178 KM,4,Szary
Lexus,NX,2021,138 000 PLN,66 000 km,Hybryda,Automatyczna,SUV,2 487 cm3,190 KM,5,Czarny
Lexus,RX,2009,60 000 PLN,190 000 km,Benzyna,Automatyczna,SUV,3 456 cm3,279 KM,5,Czarny
Lexus,NX,2020,76 000 PLN,59 500 km,Hybryda,Automatyczna,SUV,2 494 cm3,155 KM,5,Szary
Lexus,ES,2021,89 900 PLN,38 000 km,Hybryda,Automatyczna,Sedan,2 487 cm3,178 KM,4,Niebieski
Lexus,NX,2020,128 999,78 218 km,Benzyna,Automatyczna,SUV,2 494 cm3,155 KM,5,Srebrny
Lexus,GS,2012,77 900 PLN,330 000 km,Hybryda,Automatyczna,Sedan,3 456 cm3,295 KM,4,Srebrny
Lexus,RX,2007,28 888 PLN,255 985 km,Hybryda,Automatyczna,SUV,3 311 cm3,211 KM,5,Czarny
Lexus,ES,2024,229 299 PLN,1 km,Benzyna,Automatyczna,Sedan,2 487 cm3,178 KM,4,Szary
Lexus,ES,2024,204 500 PLN,1 km,Hybryda,Automatyczna,Sedan,2 487 cm3,178 KM,4,Szary
Lexus,NX,2023,220 000 PLN,10 500 km,Benzyna,Automatyczna,SUV,2 487 cm3,240 KM,5,Biały
Lexus,RX,2024,348 735 PLN,1 km,Benzyna,Automatyczna,SUV,1 998 cm3,238 KM,5,Czarny
Lexus,ES,2019,142 557 PLN,121 000 km,Hybryda,Automatyczna,Sedan,2 487 cm3,178 KM,4,Czarny
Lexus,GS,2013,119 000 PLN,133 679 km,Hybryda,Automatyczna,Sedan,3 456 cm3,292 KM,4,Granatowy
Lexus,IS,2015,87 900 PLN,126 000 km,Benzyna,Automatyczna,Sedan,2 494 cm3,181 KM,4,Biały
Lexus,NX,2019,129 500 PLN,40 200 km,Hybryda,Automatyczna,SUV,2 487 cm3,190 KM,5,Srebrny
Lexus,NX,2015,115 000 PLN,117 355 km,Hybryda,Automatyczna,SUV,2 494 cm3,155 KM,5,Inny kolor
Lexus,IS,2006,25 000 PLN,302 000 km,Benzyna,Automatyczna,Sedan,2 500 cm3,208 KM,4,Błękitny
Lexus,GS,2009,38 900 PLN,253 000 km,Hybryda,Automatyczna,Sedan,3 456 cm3,295 KM,4,Szary
Lexus,CT,2011,39 800 PLN,262 000 km,Hybryda,Automatyczna,Kompakt,1 798 cm3,99 KM,5,Biały
Lexus,IS,2018,105 000 PLN,53 000 km,Benzyna,Automatyczna,Sedan,1 998 cm3,245 KM,4,Granatowy
Lexus,RX,2022,259 900 PLN,14 301 km,Benzyna,Automatyczna,SUV,3 456 cm3,263 KM,5,Srebrny
Lexus,UX,2020,117 000 PLN,39 452 km,Hybryda,Automatyczna,SUV,1 987 cm3,152 KM,5,Biały
Lexus,CT,2017,79 900 PLN,80 000 km,Hybryda,Automatyczna,Kompakt,1 798 cm3,99 KM,5,Czerwony
Lexus,NX,2014,75 999,199 265 km,Hybryda,Automatyczna,SUV,2 494 cm3,155 KM,5,Czarny
Lexus,RX,2022,194 340 PLN,41 000 km,Benzyna,Automatyczna,SUV,1 998 cm3,238 KM,5,Czarny
Lexus,CT,2019,91 999 PLN,34 212 km,Hybryda,Automatyczna,Kompakt,1 798 cm3,99 KM,5,Czerwony
Lexus,IS,2024,29 400 EUR,399 km,Benzyna,Automatyczna,Sedan,1 998 cm3,245 KM,4,Czarny
Lexus,IS,2010,117 500 PLN,221 500 km,Benzyna,Automatyczna,Sedan,4 968 cm3,423 KM,4,Czarny
Lexus,CT,2012,54 999 PLN,180 000 km,Hybryda,Automatyczna,Kompakt,1 798 cm3,99 KM,5,Srebrny
Lexus,ES,2021,159 900 PLN,76 532 km,Hybryda,Automatyczna,Sedan,2 487 cm3,178 KM,4,Srebrny
Lexus,IS,2019,115 000 PLN,48 500 km,Hybryda,Automatyczna,Sedan,2 494 cm3,181 KM,4,Biały
Lexus,UX,2020,87 899,123 050 km,Hybryda,Automatyczna,SUV,1 987 cm3,152 KM,5,Beżowy
Lexus,ES,2019,138 900 PLN,75 000 km,Hybryda,Automatyczna,Sedan,2 487 cm3,178 KM,4,Srebrny
Lexus,NX,2023,246 000 PLN,17 000 km,Hybryda Plug-in,Automatyczna,SUV,2 487 cm3,185 KM,5,Granatowy
Lexus,NX,2019,159 900 PLN,86 231 km,Benzyna,Automatyczna,SUV,1 998 cm3,238 KM,5,Złoty
Lexus,ES,2023,214 900 PLN,14 669 km,Hybryda,Automatyczna,Sedan,2 487 cm3,218 KM,4,Niebieski
Lexus,NX,2022,242 000 PLN,81 000 km,Hybryda Plug-in,Automatyczna,SUV,2 487 cm3,185 KM,5,Złoty
Lexus,RX,2022,197 500 PLN,11 950 km,Benzyna,Automatyczna,SUV,1 998 cm3,238 KM,5,Biały
Lexus,LS,1991,45 999 PLN,159 000 km,Benzyna,Automatyczna,Sedan,3 969 cm3,245 KM,4,Zielony
Lexus,UX,2019,127 000 PLN,30 500 km,Hybryda,Automatyczna,SUV,1 987 cm3,152 KM,5,Pomarańczowy
Lexus,IS,2016,81 500 PLN,117 000 km,Benzyna,Automatyczna,Sedan,1 998 cm3,245 KM,4,Biały
Lexus,NX,2023,273 800 PLN,13 000 km,Hybryda,Automatyczna,SUV,2 487 cm3,190 KM,5,Zielony
Lexus,IS,2015,84 900 PLN,165 000 km,Hybryda,Automatyczna,Sedan,2 494 cm3,181 KM,4,Biały
Lexus,IS,2007,25 000 PLN,247 670 km,Diesel,Manualna,Sedan,2 231 cm3,177 KM,4,Srebrny
Lexus,IS,2005,39 000 PLN,261 500 km,Benzyna,Manualna,Sedan,2 500 cm3,208 KM,4,Biały
Lexus,CT,2014,53 000 PLN,260 000 km,Hybryda,Automatyczna,Kompakt,1 798 cm3,99 KM,5,Brązowy
Lexus,GS,2007,29 500 PLN,273 000 km,Benzyna,Automatyczna,Sedan,3 441 cm3,303 KM,4,Czarny
Lexus,ES,2020,179 000 PLN,79 600 km,Hybryda,Automatyczna,Coupe,2 487 cm3,218 KM,4,Biały
Lexus,NX,2020,152 000 PLN,33 000 km,Hybryda,Automatyczna,SUV,2 494 cm3,155 KM,5,Inny kolor
Lexus,CT,2011,36 900 PLN,219 000 km,Benzyna,Automatyczna,Auta miejskie,1 798 cm3,99 KM,5,Złoty
Lexus,CT,2014,62 200 PLN,88 769 km,Hybryda,Automatyczna,Kompakt,1 798 cm3,100 KM,5,Srebrny
Lexus,ES,2021,175 500 PLN,1 050 km,Benzyna+LPG,Automatyczna,Sedan,2 487 cm3,178 KM,4,Biały
Lexus,ES,2019,150 900 PLN,40 150 km,Hybryda,Automatyczna,Sedan,2 487 cm3,218 KM,5,Czarny
Lexus,NX,2024,245 000 PLN,1 km,Hybryda,Automatyczna,SUV,2 487 cm3,243 KM,5,Szary
Lexus,RX,2022,189 900 PLN,54 000 km,Benzyna,Automatyczna,SUV,1 998 cm3,238 KM,5,Biały
Lexus,NX,2014,95 999 PLN,145 255 km,Hybryda,Automatyczna,SUV,2 494 cm3,155 KM,5,Niebieski
Lexus,RX,2019,152 000 PLN,49 000 km,Hybryda,Automatyczna,SUV,3 456 cm3,263 KM,5,Biały
Lexus,IS,2015,99 999 PLN,177 000 km,Hybryda,Automatyczna,Sedan,2 494 cm3,181 KM,4,Szary
Lexus,NX,2015,93 200 PLN,169 780 km,Benzyna,Automatyczna,SUV,1 998 cm3,238 KM,5,Szary
Lexus,IS,2002,29 999 PLN,307 000 km,Benzyna,Automatyczna,Kombi,2 997 cm3,213 KM,4,Czarny
Lexus,NX,2014,99 900 PLN,157 304 km,Hybryda,Automatyczna,SUV,2 494 cm3,197 KM,5,Czerwony
Lexus,RX,2009,49 900 PLN,304 000 km,Benzyna+LPG,Automatyczna,SUV,3 456 cm3,279 KM,5,Biały
Lexus,LS,2008,59 900 PLN,166 000 km,Benzyna,Automatyczna,Sedan,4 608 cm3,381 KM,4,Inny kolor
Lexus,RX,2022,259 900 PLN,25 000 km,Hybryda,Automatyczna,SUV,3 456 cm3,263 KM,5,Czarny
Lexus,GS,2016,110 000 PLN,129 000 km,Benzyna,Automatyczna,Sedan,1 998 cm3,245 KM,4,Czarny
Lexus,NX,2023,122 128 PLN,41 000 km,Hybryda Plug-in,Automatyczna,SUV,2 487 cm3,185 KM,5,Czarny
Lexus,GS,2006,66 000 PLN,66 300 km,Benzyna,Automatyczna,Sedan,2 995 cm3,249 KM,4,Srebrny
Lexus,CT,2014,62 900 PLN,199 679 km,Hybryda,Automatyczna,Kompakt,1 798 cm3,99 KM,5,Bordowy
Lexus,RX,2016,121 770 PLN,106 992 km,Benzyna,Automatyczna,SUV,1 998 cm3,238 KM,5,Brązowy
Lexus,NX,2016,83 900 PLN,97 000 km,Benzyna,Automatyczna,SUV,1 998 cm3,238 KM,4,Bordowy
Lexus,UX,2019,119 000 PLN,72 105 km,Hybryda,Automatyczna,SUV,1 987 cm3,152 KM,5,Szary
Lexus,IS,2011,54 000 PLN,209 000 km,Benzyna,Automatyczna,Sedan,2 500 cm3,208 KM,4,Czarny
Lexus,ES,2021,185 000 PLN,24 000 km,Hybryda,Automatyczna,Sedan,2 487 cm3,178 KM,4,Granatowy
Lexus,NX,2017,115 870 PLN,131 000 km,Hybryda,Automatyczna,SUV,2 494 cm3,155 KM,5,Czarny
Lexus,IS,2017,97 000 PLN,107 000 km,Benzyna,Automatyczna,Sedan,1 998 cm3,245 KM,4,Granatowy
Lexus,IS,2013,68 900 PLN,253 000 km,Hybryda,Automatyczna,Sedan,2 494 cm3,181 KM,4,Czarny
Lexus,GS,2015,99 500 PLN,129 000 km,Benzyna,Automatyczna,SUV,1 998 cm3,245 KM,4,Złoty
Lexus,NX,2017,123 900 PLN,126 400 km,Benzyna,Automatyczna,SUV,2 000 cm3,238 KM,5,Szary
Lexus,NX,2015,94 900 PLN,126 200 km,Benzyna,Automatyczna,SUV,1 998 cm3,238 KM,5,Czarny
Lexus,LS,2008,64 900 PLN,349 200 km,Hybryda,Automatyczna,Sedan,4 969 cm3,394 KM,4,Czarny
Lexus,RX,2022,319 900 PLN,18 647 km,Hybryda Plug-in,Automatyczna,SUV,2 487 cm3,309 KM,5,Brązowy
Lexus,NX,2024,256 000 PLN,1 km,Hybryda,Automatyczna,SUV,2 487 cm3,243 KM,5,Zielony
Lexus,RX,2020,124 999 PLN,29 890 km,Benzyna,Automatyczna,SUV,1 998 cm3,238 KM,5,Granatowy
Lexus,ES,2013,69 400 PLN,160 000 km,Hybryda,Automatyczna,Sedan,2 487 cm3,178 KM,4,Szary
Lexus,ES,2023,249 899,27 900 km,Hybryda,Automatyczna,Sedan,2 487 cm3,178 KM,4,Czarny
Lexus,UX,2020,117 900 PLN,152 950 km,Hybryda,Automatyczna,SUV,1 987 cm3,152 KM,5,Czarny
Lexus,UX,2021,117 000,58 000 km,Hybryda,Automatyczna,SUV,1 987 cm3,152 KM,5,Biały
Lexus,NX,2015,89 000 PLN,230 000 km,Hybryda,Automatyczna,SUV,2 494 cm3,155 KM,5,Inny kolor
Lexus,RX,2024,325 700 PLN,5 km,Hybryda,Automatyczna,SUV,2 487 cm3,190 KM,5,Zielony
Lexus,NX,2020,163 800 PLN,70 000 km,Hybryda,Automatyczna,SUV,2 494 cm3,155 KM,5,Bordowy
Lexus,LS,2008,55 000 PLN,239 000 km,Hybryda,Automatyczna,Sedan,4 969 cm3,394 KM,4,Zielony
Lexus,RX,2020,218 900 PLN,49 500 km,Hybryda,Automatyczna,SUV,3 456 cm3,263 KM,5,Czarny
Lexus,CT,2011,38 800 PLN,269 000 km,Hybryda,Automatyczna,Kompakt,1 798 cm3,99 KM,5,Biały
Lexus,UX,2022,139 500 PLN,17 100 km,Benzyna,Automatyczna,SUV,1 987 cm3,171 KM,5,Czarny
Lexus,RX,2013,76 990 PLN,130 000 km,Benzyna,Automatyczna,SUV,3 456 cm3,279 KM,5,Czarny
Lexus,NX,2017,88 900 PLN,208 100 km,Hybryda,Automatyczna,SUV,2 494 cm3,155 KM,5,Biały
Lexus,LX,2000,66 900 PLN,275 000 km,Benzyna,Automatyczna,SUV,4 664 cm3,235 KM,5,Złoty
Lexus,IS,2001,37 000 PLN,260 000 km,Benzyna,Manualna,Sedan,1 988 cm3,155 KM,4,Biały
Lexus,GS,2016,55 000 PLN,94 000 km,Benzyna,Automatyczna,Sedan,1 998 cm3,245 KM,4,Czarny
Lexus,NX,2018,99 900 PLN,210 645 km,Benzyna,Automatyczna,SUV,1 998 cm3,238 KM,5,Czarny
Lexus,UX,2022,145 000 PLN,18 000 km,Benzyna,Automatyczna,SUV,1 987 cm3,171 KM,5,Zielony
Lexus,RX,2017,136 000 PLN,140 000 km,Benzyna,Automatyczna,SUV,1 998 cm3,238 KM,5,Biały
Lexus,CT,2015,60 900 PLN,132 500 km,Hybryda,Automatyczna,Kompakt,1 798 cm3,136 KM,5,Biały
Lexus,UX,2019,96 900 PLN,89 000 km,Benzyna,Automatyczna,SUV,1 987 cm3,171 KM,5,Biały
Lexus,ES,2023,239 900 PLN,19 668 km,Hybryda,Automatyczna,Sedan,2 487 cm3,218 KM,4,Biały
Lexus,NX,2024,233 700 PLN,13 564 km,Benzyna,Automatyczna,SUV,2 487 cm3,190 KM,5,Inny kolor
Lexus,RX,2010,54 900 PLN,233 000 km,Hybryda,Automatyczna,SUV,3 456 cm3,263 KM,5,Srebrny
Lexus,UX,2021,140 000 PLN,37 797 km,Hybryda,Automatyczna,SUV,1 987 cm3,152 KM,5,Niebieski
Lexus,UX,2019,117 900 PLN,142 238 km,Hybryda,Automatyczna,Auta miejskie,1 987 cm3,152 KM,5,Szary
Lexus,RX,2018,177 000 PLN,114 000 km,Hybryda,Automatyczna,SUV,3 456 cm3,263 KM,5,Czarny
Lexus,CT,2017,85 900 PLN,81 000 km,Hybryda,Automatyczna,Kompakt,1 798 cm3,136 KM,5,Czarny
Lexus,GS,2012,79 900 PLN,215 000 km,Hybryda,Automatyczna,Sedan,3 456 cm3,295 KM,4,Bordowy
Lexus,ES,2024,234 000 PLN,7 800 km,Hybryda,Automatyczna,Sedan,2 487 cm3,178 KM,4,Srebrny
Lexus,ES,2024,213 900 PLN,1 km,Hybryda,Automatyczna,Sedan,2 487 cm3,218 KM,4,Szary
Lexus,CT,2012,44 200 PLN,120 000 km,Hybryda,Automatyczna,Auta małe,1 798 cm3,99 KM,5,Srebrny
Lexus,UX,2023,149 900,23 681 km,Hybryda,Automatyczna,SUV,1 987 cm3,152 KM,5,Pomarańczowy
Lexus,UX,2019,125 000 PLN,54 000 km,Benzyna,Automatyczna,SUV,1 987 cm3,171 KM,5,Czarny
Lexus,RX,2016,168 500 PLN,93 404 km,Hybryda,Automatyczna,SUV,3 456 cm3,249 KM,5,Czarny
Lexus,RC,2015,185 000 PLN,112 700 km,Benzyna,Automatyczna,Coupe,4 969 cm3,477 KM,2,Niebieski
Lexus,RX,2019,170 000 PLN,58 323 km,Benzyna,Automatyczna,SUV,1 998 cm3,238 KM,5,Biały
Lexus,CT,2017,77 900 PLN,112 100 km,Hybryda,Automatyczna,Kompakt,1 798 cm3,135 KM,5,Brązowy
Lexus,IS,2001,7 600 PLN,325 279 km,Benzyna+LPG,Manualna,Sedan,1 988 cm3,155 KM,5,Niebieski
Lexus,NX,2017,131 900 PLN,104 000 km,Benzyna,Automatyczna,SUV,1 998 cm3,238 KM,5,Czarny
Lexus,CT,2012,42 500 PLN,241 500 km,Hybryda,Automatyczna,Kompakt,1 798 cm3,99 KM,5,Brązowy
Lexus,IS,2006,38 000 PLN,250 000 km,Benzyna,Automatyczna,Sedan,2 500 cm3,208 KM,4,Czarny
Lexus,GS,2006,39 000 PLN,324 000 km,Benzyna,Automatyczna,Sedan,2 995 cm3,249 KM,4,Inny kolor
Lexus,RX,2018,171 000 PLN,151 675 km,Hybryda,Automatyczna,SUV,3 456 cm3,263 KM,5,Inny kolor
Lexus,UX,2022,169 900 PLN,18 000 km,Elektryczny,Automatyczna,SUV,,204 KM,5,Niebieski
Lexus,NX,2021,152 900 PLN,79 500 km,Benzyna,Automatyczna,SUV,1 998 cm3,238 KM,5,Pomarańczowy
Lexus,NX,2017,128 500 PLN,80 513 km,Hybryda,Automatyczna,SUV,2 494 cm3,155 KM,5,Brązowy
Lexus,CT,2011,41 500 PLN,198 000 km,Hybryda,Automatyczna,Kompakt,1 798 cm3,136 KM,5,Szary
Lexus,IS,2014,82 000 PLN,126 000 km,Benzyna,Automatyczna,Sedan,2 500 cm3,208 KM,4,Biały
Lexus,IS,2016,82 000 PLN,135 420 km,Hybryda,Automatyczna,Sedan,2 494 cm3,181 KM,4,Złoty
Lexus,CT,2016,59 000 PLN,158 666 km,Hybryda,Automatyczna,Kompakt,1 798 cm3,99 KM,5,Biały
Lexus,IS,2004,25 500 PLN,153 000 km,Benzyna,Manualna,Kombi,1 988 cm3,155 KM,5,Srebrny
Lexus,NX,2024,245 000 PLN,1 km,Hybryda,Automatyczna,SUV,2 487 cm3,243 KM,5,Czarny
Lexus,UX,2019,123 500 PLN,50 500 km,Benzyna,Automatyczna,SUV,1 987 cm3,171 KM,5,Inny kolor
Lexus,ES,2024,213 000 PLN,5 km,Hybryda,Automatyczna,Sedan,2 487 cm3,178 KM,4,Srebrny
Lexus,LC,2018,388 000 PLN,42 000 km,Hybryda,Automatyczna,Coupe,3 456 cm3,299 KM,2,Granatowy
Lexus,NX,2018,125 000 PLN,79 154 km,Hybryda,Automatyczna,SUV,2 494 cm3,155 KM,5,Biały
Lexus,LS,2009,69 900 PLN,162 000 km,Benzyna,Automatyczna,Sedan,4 608 cm3,387 KM,4,Inny kolor
Lexus,NX,2021,179 900 PLN,19 400 km,Benzyna,Automatyczna,SUV,2 494 cm3,197 KM,5,Biały
Lexus,CT,2019,99 700 PLN,3 450 km,Hybryda,Automatyczna,Kompakt,1 798 cm3,136 KM,5,Szary
Lexus,LC,2017,190 000 PLN,97 900 km,Benzyna,Automatyczna,Coupe,4 969 cm3,477 KM,2,Biały
Lexus,IS,2007,24 800 PLN,214 508 km,Diesel,Manualna,Sedan,2 231 cm3,177 KM,4,Szary
Lexus,GS,2016,95 000 PLN,265 000 km,Benzyna,Automatyczna,Sedan,1 998 cm3,245 KM,4,Czarny
Lexus,UX,2022,130 000 PLN,60 000 km,Benzyna,Automatyczna,SUV,1 987 cm3,171 KM,5,Biały
Lexus,RX,2021,238 000 PLN,61 000 km,Hybryda,Automatyczna,SUV,3 456 cm3,263 KM,5,Biały
Lexus,NX,2023,106 000 PLN,10 549 km,Hybryda,Automatyczna,SUV,2 494 cm3,190 KM,4,Czerwony
Lexus,LC,2021,449 000 PLN,9 151 km,Benzyna,Automatyczna,Kabriolet,4 969 cm3,463 KM,3,Biały
Lexus,ES,2019,109 999 PLN,200 000 km,Hybryda,Automatyczna,Sedan,2 487 cm3,178 KM,4,Czarny
Lexus,GS,2018,122 900 PLN,89 500 km,Benzyna,Automatyczna,Sedan,1 998 cm3,245 KM,4,Czarny
Lexus,IS,2018,116 000 PLN,74 800 km,Benzyna,Automatyczna,Sedan,1 998 cm3,245 KM,4,Czarny
Lexus,LS,2009,94 900 PLN,178 220 km,Benzyna,Automatyczna,Sedan,4 608 cm3,380 KM,4,Brązowy
Lexus,NX,2017,119 900 PLN,76 000 km,Hybryda,Automatyczna,SUV,2 494 cm3,155 KM,5,Biały
Lexus,CT,2011,48 000 PLN,167 200 km,Hybryda,Automatyczna,Auta miejskie,1 798 cm3,99 KM,5,Biały
Lexus,RX,2013,85 000 PLN,180 000 km,Hybryda,Automatyczna,SUV,3 456 cm3,249 KM,5,Czarny
Lexus,NX,2016,105 000 PLN,171 304 km,Benzyna,Automatyczna,SUV,1 998 cm3,238 KM,5,Srebrny
Lexus,RC,2017,240 000 PLN,109 000 km,Benzyna,Automatyczna,Coupe,4 969 cm3,477 KM,2,Niebieski
Lexus,RX,2007,34 900 PLN,230 000 km,Hybryda,Automatyczna,SUV,3 311 cm3,211 KM,5,Czarny
Lexus,NX,2016,106 900 PLN,106 234 km,Hybryda,Automatyczna,SUV,2 494 cm3,155 KM,5,Biały
Lexus,LS,2018,99 000,135 600 km,Benzyna,Automatyczna,Sedan,3 445 cm3,420 KM,4,Czarny
Lexus,ES,2021,214 635 PLN,29 500 km,Hybryda,Automatyczna,Sedan,2 487 cm3,178 KM,4,Szary
Lexus,GX,2006,60 000 PLN,241 616 km,Benzyna,Automatyczna,SUV,4 671 cm3,263 KM,5,Czarny
Lexus,NX,2019,124 900 PLN,76 000 km,Hybryda,Automatyczna,SUV,2 487 cm3,190 KM,5,Czarny
Lexus,UX,2019,107 500 PLN,121 712 km,Benzyna,Automatyczna,SUV,1 987 cm3,173 KM,5,Biały
Lexus,NX,2019,119 900 PLN,127 238 km,Benzyna,Automatyczna,SUV,1 998 cm3,238 KM,5,Czarny
Lexus,UX,2020,122 900 PLN,88 414 km,Benzyna,Automatyczna,SUV,1 987 cm3,171 KM,5,Czarny
Lexus,ES,2021,99 900 PLN,36 000 km,Hybryda,Automatyczna,Sedan,2 487 cm3,178 KM,4,Szary
Lexus,NX,2024,219 072 PLN,1 km,Hybryda,Automatyczna,SUV,2 487 cm3,185 KM,5,Biały
Lexus,IS,2014,70 000 PLN,240 000 km,Benzyna,Automatyczna,Sedan,2 500 cm3,208 KM,4,Biały
Lexus,RX,2023,310 000 PLN,16 053 km,Hybryda,Automatyczna,SUV,2 487 cm3,245 KM,5,Srebrny
Lexus,RX,2016,128 900 PLN,137 980 km,Benzyna,Automatyczna,SUV,1 998 cm3,238 KM,5,Niebieski
Lexus,LC,2017,299 000 PLN,44 940 km,Benzyna,Automatyczna,Coupe,4 969 cm3,463 KM,3,Szary
Lexus,UX,2022,137 900 PLN,12 805 km,Benzyna,Automatyczna,SUV,1 987 cm3,171 KM,5,Srebrny
Lexus,IS,2013,64 999 PLN,263 155 km,Hybryda,Automatyczna,Sedan,2 494 cm3,181 KM,4,Srebrny
Lexus,CT,2015,48 900 PLN,258 000 km,Hybryda,Automatyczna,Kompakt,1 798 cm3,99 KM,5,Szary
Lexus,UX,2023,139 900 PLN,17 124 km,Benzyna,Automatyczna,SUV,1 987 cm3,171 KM,5,Czarny
Lexus,LS,1995,42 000 PLN,152 230 km,Benzyna,Automatyczna,Sedan,3 969 cm3,264 KM,4,Biały
Lexus,LC,2019,374 900 PLN,30 852 km,Hybryda,Automatyczna,Coupe,3 456 cm3,359 KM,2,Srebrny
Lexus,NX,2021,179 000 PLN,20 152 km,Benzyna,Automatyczna,SUV,1 998 cm3,238 KM,5,Srebrny
Lexus,NX,2021,96 800 PLN,39 905 km,Hybryda,Automatyczna,SUV,2 494 cm3,155 KM,5,Inny kolor
Lexus,IS,2006,29 500 PLN,310 111 km,Benzyna,Automatyczna,Sedan,2 500 cm3,208 KM,4,Srebrny
Lexus,RC,2016,129 000 PLN,160 000 km,Benzyna,Automatyczna,Coupe,4 969 cm3,463 KM,2,Niebieski
Lexus,NX,2015,83 500 PLN,162 963 km,Benzyna,Automatyczna,SUV,1 998 cm3,238 KM,5,Niebieski
Lexus,IS,2021,79 900 PLN,14 764 km,Benzyna,Automatyczna,Sedan,4 969 cm3,423 KM,4,Srebrny
Lexus,NX,2019,114 997 PLN,63 000 km,Hybryda,Automatyczna,SUV,2 494 cm3,155 KM,5,Czarny
